ros_time,recv_time_utc,raw_line,parse_ok,error
1782389674.359626,2026-06-25T12:14:34.359Z,-186.90; -16.59; 997.96; -3916.94; 13806.45; -15763.39; 73628.58; -27343.94; 8213.63; 2189574204.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.45; 172250.00;   0.75;,1,
1782389674.37421,2026-06-25T12:14:34.374Z,-186.90; -16.59; 997.84; -3855.69; 13749.58; -15780.89; 73628.61; -27343.95; 8215.55; 2189673970.00; 19999.00; 20050.00; 19948.00; 19999.00; 19999.00;  -0.59; 1015.33; 172250.00;   0.75;,1,
1782389674.391345,2026-06-25T12:14:34.391Z,-187.03; -16.35; 997.96; -3877.56; 13775.83; -15789.64; 73628.64; -27343.96; 8217.48; 2189774404.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.47; 172250.00;   0.75;,1,
1782389675.384407,2026-06-25T12:14:35.384Z,-187.76; -16.71; 997.47; -3663.19; 13530.83; -15767.76; 73628.67; -27343.96; 8219.40; 2190013428.00; 155939.00; 19994.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.13; 172250.00;   0.75;,1,
1782389675.400662,2026-06-25T12:14:35.400Z,-187.64; -16.71; 997.72; -3610.69; 13570.20; -15789.64; 73628.70; -27343.97; 8221.33; 2190113279.00; 19999.00; 19999.00; 19999.00; 20004.00; 19995.00;  -0.60; 1015.34; 178990.00;   0.75;,1,
1782389675.417028,2026-06-25T12:14:35.417Z,-187.64; -16.71; 997.59; -3619.44; 13513.33; -15780.89; 73628.73; -27343.97; 8223.25; 2190213361.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.22; 178990.00;   0.75;,1,
1782389675.433527,2026-06-25T12:14:35.433Z,-187.51; -16.84; 997.96; -3615.06; 13570.20; -15798.39; 73628.77; -27343.97; 8225.18; 2190313738.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.56; 178990.00;   0.75;,1,
1782389675.449807,2026-06-25T12:14:35.449Z,-187.64; -16.71; 997.96; -3663.19; 13574.58; -15785.26; 73628.80; -27343.97; 8227.11; 2190413543.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.58; 178990.00;   0.75;,1,
1782389675.466625,2026-06-25T12:14:35.466Z,-187.64; -16.71; 997.96; -3698.19; 13565.83; -15763.39; 73628.83; -27343.97; 8229.03; 2190513939.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.58; 178990.00;   0.75;,1,
1782389675.482694,2026-06-25T12:14:35.482Z,-187.64; -16.59; 997.96; -3676.31; 13552.70; -15772.14; 73628.86; -27343.97; 8230.96; 2190613798.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.58; 178990.00;   0.75;,1,
